category,question,difficulty
Viva,Explain your MCA project.,Medium
Viva,What technologies were used in your project?,Easy
Viva,Why did you choose this project?,Easy
Viva,What is the project architecture?,Medium
Viva,What are the project modules?,Medium
Viva,Explain database design.,Medium
Viva,What challenges did you face during development?,Medium
Viva,How did you test the application?,Medium
Viva,What are the future enhancements?,Medium
Viva,What is normalization?,Medium
Viva,Explain software development lifecycle.,Medium
Viva,What is machine learning?,Easy
Viva,Explain deep learning.,Medium
Viva,What is NLP?,Medium
Viva,What is cloud computing?,Easy
Viva,What is API integration?,Medium
Viva,What is database indexing?,Hard
Viva,What is authentication?,Medium
Viva,What is authorization?,Medium
Viva,How would you scale your project?,Hard
